,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,sex_M,address_R,famsize_LE3,Pstatus_T,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes,GPA
0,18,4,4,2,2,0,4,3,4,1,1,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5.666666666666667
1,17,1,1,1,2,0,5,3,3,1,1,3,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,5.333333333333333
2,15,1,1,1,2,3,4,3,2,2,3,3,10,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,8.333333333333334
3,15,4,2,1,3,0,3,2,2,1,1,5,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,14.666666666666666
4,16,3,3,1,2,0,4,3,2,1,2,5,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,8.666666666666666
5,16,4,3,1,2,0,5,4,2,1,2,5,10,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,15.0
6,16,2,2,1,2,0,4,4,4,1,1,3,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,11.666666666666666
7,17,4,4,2,2,0,4,1,4,1,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,5.666666666666667
8,15,3,2,1,2,0,4,2,2,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,17.666666666666668
9,15,3,4,1,2,0,5,5,1,1,1,5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,14.666666666666666
10,15,4,4,1,2,0,3,3,3,1,2,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,9.0
11,15,2,1,3,3,0,5,2,2,1,1,4,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,11.333333333333334
12,15,4,4,1,1,0,4,3,3,1,3,5,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,14.0
13,15,4,3,2,2,0,5,4,3,1,2,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,10.333333333333334
14,15,2,2,1,3,0,4,5,2,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,15.333333333333334
15,16,4,4,1,1,0,4,4,4,1,2,2,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,14.0
16,16,4,4,1,3,0,3,2,3,1,2,2,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,13.666666666666666
17,16,3,3,3,2,0,5,3,2,1,1,4,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,9.333333333333334
18,17,3,2,1,1,3,5,5,5,2,4,5,16,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,5.333333333333333
19,16,4,3,1,1,0,3,1,3,1,3,5,4,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,9.333333333333334
20,15,4,3,1,2,0,4,4,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,14.0
21,15,4,4,1,1,0,5,4,2,1,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,14.0
